season,season_end_year,bets,wins,losses,pushes,voids,win_rate_settled,amount_staked,settled_stake,net_profit,roi_on_settled_stake,model_mae_wins,market_mae_wins,model_rmse_wins,market_rmse_wins,cumulative_profit
2016-17,2017,30,12,18,0,0,0.4,300.0,300.0,-70.90909090909089,-0.2363636363636363,5.3858152589887425,4.233333333333333,6.739341693309421,5.197755926038338,-70.90909090909089
2017-18,2018,30,15,15,0,0,0.5,300.0,300.0,-13.63636363636362,-0.0454545454545454,5.766266400340133,5.766666666666667,7.330140153733909,7.3530039213009175,-84.54545454545452
2018-19,2019,30,15,15,0,0,0.5,300.0,300.0,-13.636363636363624,-0.045454545454545414,7.6370239405472775,6.933333333333334,8.917511670033054,8.158839786799755,-98.18181818181814
2019-20,2020,30,0,0,0,30,,300.0,0.0,0.0,,7.274977289661816,7.050563716000002,9.54344874998592,9.064112279729052,-98.18181818181814
2020-21,2021,30,15,15,0,0,0.5,300.0,300.0,-13.636363636363614,-0.04545454545454538,8.3689613575114,5.733333333333333,10.802917348010968,7.619055059520177,-111.81818181818176
2021-22,2022,30,13,17,0,0,0.43333333333333335,300.0,300.0,-51.8181818181818,-0.17272727272727267,7.712622579080028,6.933333333333334,9.541853220736577,8.99536917900909,-163.63636363636357
2022-23,2023,30,19,11,0,0,0.6333333333333333,300.0,300.0,62.727272727272734,0.2090909090909091,5.2492821044794,6.266666666666667,6.568250943048486,7.531046850648764,-100.90909090909084
2023-24,2024,30,12,18,0,0,0.4,300.0,300.0,-70.90909090909089,-0.2363636363636363,7.612544721184464,6.566666666666666,9.16689123965292,7.885640958941342,-171.81818181818173
2024-25,2025,30,17,13,0,0,0.5666666666666667,300.0,300.0,24.54545454545456,0.08181818181818187,8.062181993870777,8.366666666666667,10.725549295710646,10.772650555921695,-147.27272727272717
2025-26,2026,30,14,16,0,0,0.4666666666666667,300.0,300.0,-32.72727272727271,-0.10909090909090904,8.834779816600369,7.466666666666667,11.762553985397712,9.5420123663722,-179.9999999999999
